experiment,source_file,architecture,component,initialization,external_pretraining,checkpoint_loaded,strict_load,fair_comparison
FINETUNE_TINYIMAGENET_MU33,finetune_tinyImage_mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU33,finetune_tinyImage_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
SSL_ORIGINAL_MU2,pp_SoiNet_orginal_vicREG-mu=2.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU2,pp_SoiNet_orginal_vicREG-mu=2.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU2,pp_SoiNet_orginal_vicREG-mu=2.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU23,pp_SoiNet_orginal_vicREG-mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU23,pp_SoiNet_orginal_vicREG-mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU23,pp_SoiNet_orginal_vicREG-mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,pp_SoiNet_orginal_vicREG-mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,pp_SoiNet_orginal_vicREG-mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU25,pp_SoiNet_orginal_vicREG-mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,pp_SoiNet_orginal_vicREG-mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,pp_SoiNet_orginal_vicREG-mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU27,pp_SoiNet_orginal_vicREG-mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,pp_SoiNet_orginal_vicREG-mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,pp_SoiNet_orginal_vicREG-mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU30,pp_SoiNet_orginal_vicREG-mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,pp_SoiNet_orginal_vicREG-mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,pp_SoiNet_orginal_vicREG-mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU33,pp_SoiNet_orginal_vicREG-mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU40,pp_SoiNet_orginal_vicREG-mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU40,pp_SoiNet_orginal_vicREG-mu=40.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU40,pp_SoiNet_orginal_vicREG-mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
SSL_ORIGINAL_MU80,pp_SoiNet_orginal_vicREG-mu=80.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,NOT_EXPLICIT_OR_TRUE,NOT_ESTABLISHED
