scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_23.0.pth,9fdf19cc605ea41620117c8f3088c068d055aa9c75fbb7151927224aa9dfbd34,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_25.0.pth,fe651a5894d5b3818b5e8c16b320be2911c42e6d6b137ed897751828f2042f2f,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_27.0.pth,6929e054b1f0628a86c6fb4bd0e4a1b578e854058e8f6b92f4bff77e31725420,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_30.0.pth,be92a8e47cd54b6b144b8efe6a6b86f64c7ed56b29761e7ac70c275243e24f1a,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_33.0.pth,676dd623e3d8263e93c86f7f46fc5200993ce41e6903e2ce1bf53d8e1efe0ca1,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_40.0.pth,9f07ddb3e0044d663fabed57c82f76fd063fd98471bc3ebb2baebffa4305c019,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_80.0.pth,278c101d74df25b2c80e0542e31669dfb1ee09ca53c675f742c573c147a51e3c,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_20.0.pth,084344a12ac36e0e246363ddf2fa1538aaa83fc55c71d358db3670863d40a2c7,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_23.0.pth,468acc942d08d2502acefea4579cbcf5579514dc1e6d8e5c775089910a7565fc,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_25.0.pth,b88486d41fe54b8f72c59dfd2fc32ada1659c095453aa20cc90469c5bdb804f4,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_27.0.pth,49ca7e91bf3c90f7e08589ab5bae12a825f484ab64f234d6f880d09d3cdff0d2,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_classifier_final_mu_30.0.pth,9b4165f8982a913f657866beb669f21eace64e757b5dbf32071d7fd4a505dec0,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
