duplicate_group_id,relation,group_size,relative_path,sha256,perceptual_hash,threshold
phash:a218abd28b5d36df,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_10_20/alluvial/IMG_0462_M_10_20_pale_yellow_M_40_50_gray_brown_M_50_60_clay_red_M_70_80_wet_gray.jpg,fc2fbaf4a825f6ce1784f4362c9c3aac1825c28b15b40f935714d5ae4e5fbdcc,0004220101021410,5
phash:a218abd28b5d36df,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_70_80_L_10_20_01482.jpg,65f0844630b88e213cfaa7f0c42150408b1fa3264dccf1668d1a441505f49b7a,0804220100020450,5
phash:a218abd28b5d36df,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_80_90_L_10_20_01688.jpg,fc2fbaf4a825f6ce1784f4362c9c3aac1825c28b15b40f935714d5ae4e5fbdcc,0004220101021410,5
phash:a7132e1b2f6dfe6e,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0462_M_10_20_pale_yellow_M_40_50_gray_brown_M_50_60_clay_red.jpg,485cb88b5054bd610c6b6c36b7b61fa36e85045e5ae9d856ad6794dcc6e7cb9a,0802110000020208,5
phash:a7132e1b2f6dfe6e,EXACT,2,unlabeled_images/M_70_80_L_10_20_01483.jpg,485cb88b5054bd610c6b6c36b7b61fa36e85045e5ae9d856ad6794dcc6e7cb9a,0802110000020208,5
phash:f004b3f19ad4d2e6,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0463_M_10_20_gray_brown_M_40_50_gray_brown_M_50_60_clay_red.jpg,fc102c52156d23942efd5dc86d1e10b323cbd4275389c028d69c1356f1c64e43,8120100a05051212,5
phash:f004b3f19ad4d2e6,EXACT,2,unlabeled_images/M_70_80_L_10_20_01484.jpg,fc102c52156d23942efd5dc86d1e10b323cbd4275389c028d69c1356f1c64e43,8120100a05051212,5
phash:e9f73e07748ea63a,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0464_M_10_20_pale_yellow_M_40_50_gray_brown_M_50_60_clay_red.jpg,d259cae130ea10f8a45ec22818be77debc6aa28655fe8d4bb4781b448436742f,0210004011051402,5
phash:e9f73e07748ea63a,EXACT,2,unlabeled_images/M_70_80_L_10_20_01485.jpg,d259cae130ea10f8a45ec22818be77debc6aa28655fe8d4bb4781b448436742f,0210004011051402,5
phash:4fd845fe0a85faf8,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081579514_5a67b978119dcf79cb53e218abca90ab_M_30_40_gray_brown_M_50_60_clay_red.jpg,c90c2aff5fc17d6e30a2590bf33297217f1abe430f59a6b8f68cb03679ffe43f,80040a0206094240,5
phash:4fd845fe0a85faf8,EXACT,2,unlabeled_images/M_70_80_L_10_20_01487.jpg,c90c2aff5fc17d6e30a2590bf33297217f1abe430f59a6b8f68cb03679ffe43f,80040a0206094240,5
phash:0873a96e4ff25a7d,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081698408_1104a201030364e4363947fc0b109f20_M_30_40_light_brown_M_40_50_dark_brown_M_60_70_dark_brown.jpg,186435dff3c157cc3e5060d04d8ebecb6ced802faf587c175c682ea6ab307625,0042080220024010,5
phash:0873a96e4ff25a7d,EXACT,2,unlabeled_images/M_70_80_L_10_20_01489.jpg,186435dff3c157cc3e5060d04d8ebecb6ced802faf587c175c682ea6ab307625,0042080220024010,5
phash:54cb67f494406537,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081741279_e6dcbcb3d2252e27194aab74ebc27762_M_30_40_gray_brown_M_50_60_dark_brown.jpg,01e671203a8c0f6259f24872c9e5b91bd8fcb32494d6baaf66641ad1eba220eb,6220090a0e101021,5
phash:54cb67f494406537,EXACT,2,unlabeled_images/M_70_80_L_10_20_01491.jpg,01e671203a8c0f6259f24872c9e5b91bd8fcb32494d6baaf66641ad1eba220eb,6220090a0e101021,5
phash:698364e78eb36e60,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081772943_2fb347b31f759bb077e09ce9344a4b18_M_30_40_gray_brown_M_40_50_gray_brown_M_60_70_clay_red.jpg,39366b869e35a373f67923b012dc13a405a85ac92e4fc52fc9c1a400dea08d9d,0401000890140410,5
phash:698364e78eb36e60,EXACT,2,unlabeled_images/M_70_80_L_10_20_01492.jpg,39366b869e35a373f67923b012dc13a405a85ac92e4fc52fc9c1a400dea08d9d,0401000890140410,5
phash:01c05f275d76123f,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081772943_2fb347b31f759bb077e09ce9344a4b18_M_30_40_light_brown_M_50_60_dark_brown_M_60_70_dark_brown.jpg,1a478a5e3ab60eae9ce7a661bdf195da5afb8766048e77741604554d1fad9dc8,0801120810400400,5
phash:01c05f275d76123f,EXACT,2,unlabeled_images/M_70_80_L_10_20_01493.jpg,1a478a5e3ab60eae9ce7a661bdf195da5afb8766048e77741604554d1fad9dc8,0801120810400400,5
phash:c69700553aed63d9,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/z5716081793488_8e267ac7db26534a784551ddef1bbd5f_M_30_40_gray_brown_M_40_50_gray_brown_M_50_60_clay_red.jpg,64a18053e229e2b76376170dc5c74840d9c4e5eb937151e3b9e75eb690cab652,1004020220242002,5
phash:c69700553aed63d9,EXACT,2,unlabeled_images/M_70_80_L_10_20_01495.jpg,64a18053e229e2b76376170dc5c74840d9c4e5eb937151e3b9e75eb690cab652,1004020220242002,5
phash:666e0033679ad081,EXACT,2,Soil_Labeled_Data/M_70_80/L_20_30/alluvial/IMG_0505_M_10_20_gray_brown_M_40_50_gray_brown_M_50_60_gray_brown_M_60_70_clay_red.jpg,424c77f479adac0255ab76c312dede12a07b8b800c1479c708760fb1c462a664,261b5f27109c2407,5
phash:666e0033679ad081,EXACT,2,unlabeled_images/M_70_80_L_20_30_01503.jpg,424c77f479adac0255ab76c312dede12a07b8b800c1479c708760fb1c462a664,261b5f27109c2407,5
phash:52ee62cbe9613b75,EXACT,2,Soil_Labeled_Data/M_70_80/L_20_30/alluvial/z5716143802989_a04eb3c221a7cff6d3c442ea723574d8_M_30_40_gray_brown_M_50_60_dark_brown_M_60_70_clay_red.jpg,6b5c0f8cdcc66d312ffe130fc31af8c267a6270789d317dbf2ff53853f85cc4c,312065216b1d0143,5
phash:52ee62cbe9613b75,EXACT,2,unlabeled_images/M_70_80_L_20_30_01509.jpg,6b5c0f8cdcc66d312ffe130fc31af8c267a6270789d317dbf2ff53853f85cc4c,312065216b1d0143,5
phash:c790d44403efbf2c,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_70_80/L_20_30/alluvial/z5716144284037_44127132185b5cccfae5b4beda32cc38_M_30_40_clayish_red_M_40_50_light_brown_M_50_60_dark_brown_M_60_70_clay_red.jpg,2d4632beffab291d4d0adb7382ac9435c25244cd5f54e102111f926cebf65eff,04000415210c4010,5
phash:c790d44403efbf2c,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/aug_01254.jpg,fd1e119a5b9f83d70651eea8f412841827548979f9b5a0c29c139908457db136,04000401210c4010,5
phash:c790d44403efbf2c,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/M_70_80_L_20_30_01514.jpg,2d4632beffab291d4d0adb7382ac9435c25244cd5f54e102111f926cebf65eff,04000415210c4010,5
phash:541c85f6d7388d87,EXACT,2,Soil_Labeled_Data/M_70_80/L_20_30/alluvial/z5716144322709_8f70df660518e4d32c3fa16707b39049_M_30_40_gray_brown_M_50_60_dark_brown.jpg,c971611c2a6475bbad8c5ba374ca60faacaa176cd7ddfa2e9b8cd0436876b5e1,018481022a344612,5
phash:541c85f6d7388d87,EXACT,2,unlabeled_images/M_70_80_L_20_30_01515.jpg,c971611c2a6475bbad8c5ba374ca60faacaa176cd7ddfa2e9b8cd0436876b5e1,018481022a344612,5
phash:1172c517cfb77335,EXACT,2,Soil_Labeled_Data/M_70_80/L_20_30/alluvial/z5716144322709_8f70df660518e4d32c3fa16707b39049_M_30_40_light_brown_M_40_50_gray_brown_M_50_60_clay_red.jpg,4f4e3cc2722806fbe8bd35eda421ac7535ec7f1fdd02212454efebc06c61448e,0101821028314250,5
phash:1172c517cfb77335,EXACT,2,unlabeled_images/M_70_80_L_20_30_01516.jpg,4f4e3cc2722806fbe8bd35eda421ac7535ec7f1fdd02212454efebc06c61448e,0101821028314250,5
phash:043c318cccb80e17,EXACT,2,Soil_Labeled_Data/M_70_80/L_30_40/alluvial/IMG_0553_M_10_20_light_brown_M_40_50_dark_brown_M_60_70_dark_brown.jpg,345ccda66a47dadaf129e284922a56b94844bbc09f09e21790eab86cf020a383,821615331120030a,5
phash:043c318cccb80e17,EXACT,2,unlabeled_images/M_70_80_L_30_40_01525.jpg,345ccda66a47dadaf129e284922a56b94844bbc09f09e21790eab86cf020a383,821615331120030a,5
phash:e5f1bf05b11dc4a6,EXACT,2,Soil_Labeled_Data/M_70_80/L_30_40/alluvial/IMG_0554_M_10_20_light_brown_M_40_50_gray_brown_M_50_60_dark_brown_M_60_70_clay_red.jpg,6c544acfe6777ad824272cba33af2f056da72e1ee82a64e21cafb16b141939bf,2d2452c320240128,5
phash:e5f1bf05b11dc4a6,EXACT,2,unlabeled_images/M_70_80_L_30_40_01526.jpg,6c544acfe6777ad824272cba33af2f056da72e1ee82a64e21cafb16b141939bf,2d2452c320240128,5
phash:24d6e849b24f4f55,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_70_80/L_30_40/alluvial/IMG_0558_M_10_20_light_brown_M_40_50_light_brown_M_50_60_clay_red.jpg,307ad22ce73914af8c49a68c9cd76046726fb84db86861776e4c8db26e4e73e9,8313039242030404,5
phash:24d6e849b24f4f55,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_30_40/alluvial/IMG_0558_M_10_20_light_brown_M_40_50_light_brown_M_50_60_clay_red_M_70_80_clay_red.jpg,a2350befaebfdf64f711f876ea2a143fc60af37ffdf7ddbcf02905b1041f11de,8113821202030404,5
phash:24d6e849b24f4f55,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_70_80_L_30_40_01528.jpg,307ad22ce73914af8c49a68c9cd76046726fb84db86861776e4c8db26e4e73e9,8313039242030404,5
phash:24d6e849b24f4f55,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_80_90_L_30_40_01727.jpg,a2350befaebfdf64f711f876ea2a143fc60af37ffdf7ddbcf02905b1041f11de,8113821202030404,5
phash:7c2c3b810043549e,EXACT,2,Soil_Labeled_Data/M_70_80/L_30_40/alluvial/IMG_0561_M_10_20_clayish_red_M_40_50_light_brown_M_50_60_clay_red.jpg,3c12283b169ded4783a2c80eaccbb1d367bf88901feaefb081c6ae1d5b6b83c9,060f4765830b8285,5
phash:7c2c3b810043549e,EXACT,2,unlabeled_images/M_70_80_L_30_40_01529.jpg,3c12283b169ded4783a2c80eaccbb1d367bf88901feaefb081c6ae1d5b6b83c9,060f4765830b8285,5
phash:596b4f1071a46f67,EXACT,2,Soil_Labeled_Data/M_70_80/L_40_50/alluvial/IMG_0588_M_10_20_clayish_red_M_40_50_gray_brown_M_60_70_clay_red.jpg,7afd80e840ba9f5303a93f5a036c22b7021efa410e215fccd7843d75d731453d,2303074495cb9f1c,5
phash:596b4f1071a46f67,EXACT,2,unlabeled_images/M_70_80_L_40_50_01544.jpg,7afd80e840ba9f5303a93f5a036c22b7021efa410e215fccd7843d75d731453d,2303074495cb9f1c,5
phash:c2d0b4c5d54ef858,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_70_80/L_40_50/alluvial/IMG_0593_M_10_20_light_brown_M_40_50_light_brown_M_50_60_gray_brown_M_60_70_dark_brown.jpg,2b8ecb791b8386a93664423884c97059a0f2581aaa95c8a9d754e1b506fd66c8,23515d0d0849a183,5
phash:c2d0b4c5d54ef858,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_90_100/L_40_50/alluvial/IMG_0593_M_10_20_light_brown_M_40_50_light_brown_M_50_60_gray_brown_M_60_70_dark_brown_M_70_80_dark_brown.jpg,b7dfb39c1acd71091f3690fe292ca5e33d6695211a6670ea803a7d37dc684425,21514d050849a183,5
phash:c2d0b4c5d54ef858,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_70_80_L_40_50_01549.jpg,2b8ecb791b8386a93664423884c97059a0f2581aaa95c8a9d754e1b506fd66c8,23515d0d0849a183,5
phash:c2d0b4c5d54ef858,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_90_100_L_40_50_01947.jpg,b7dfb39c1acd71091f3690fe292ca5e33d6695211a6670ea803a7d37dc684425,21514d050849a183,5
phash:1c09e6fdb45b5268,EXACT,2,Soil_Labeled_Data/M_70_80/L_40_50/alluvial/z5719914790582_45835810f70dbeacbf914f09630b68d9_M_30_40_pale_yellow_M_40_50_gray_brown_M_60_70_clay_red.jpg,3d017d9ef05c92a12ec36fe6648af3a8049ca7172fe583c7e3dc31fc74499c56,090d09030513032a,5
phash:1c09e6fdb45b5268,EXACT,2,unlabeled_images/M_70_80_L_40_50_01552.jpg,3d017d9ef05c92a12ec36fe6648af3a8049ca7172fe583c7e3dc31fc74499c56,090d09030513032a,5
phash:0be3776bf5b85f30,NEAR_OR_EXACT_COMPONENT,11,Soil_Labeled_Data/M_70_80/L_50_60/alluvial/IMG_0631_M_10_20_light_brown_M_40_50_gray_brown_M_60_70_dark_brown.jpg,a67becdd4dc89356e2d5ce00f7689d63b39572d771c5cf967afe4cbe10dc1b51,64961b2413041953,5
phash:0be3776bf5b85f30,NEAR_OR_EXACT_COMPONENT,11,Soil_Labeled_Data/M_80_90/L_50_60/alluvial/IMG_0631_M_10_20_light_brown_M_40_50_light_brown_M_50_60_dark_brown_M_70_80_clay_red.jpg,a5c4c4305961ba6c5fcd73a36c7cd50e694d0dd024f24650fc2e62abcebf5c07,64861b2415041113,5
phash:0be3776bf5b85f30,NEAR_OR_EXACT_COMPONENT,11,Soil_Labeled_Data/M_90_100/L_50_60/alluvial/IMG_0631_M_10_20_light_brown_M_40_50_light_brown_M_50_60_dark_brown_M_70_80_clay_red_M_80_90_dark_brown.jpg,047a92f61553738e838c50f1d273ef1fdf0f6302a088487e47c5972bfc4d403b,e4821b2423041153,5
